fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.4,0.7,0.0,1.9,76,11.0,34.0,9.978,3.51,0.56,9.4,5,0
7.8,0.88,0.0,2.6,98,25.0,67.0,9.968,3.2,0.68,9.8,5,1
7.8,0.76,0.04,2.3,92,15.0,54.0,997,3.26,0.65,9.8,5,2
11.2,0.28,0.56,1.9,75,17.0,60.0,998,3.16,0.58,9.8,6,3
7.4,0.7,0.0,1.9,76,11.0,34.0,9.978,3.51,0.56,9.4,5,4
7.4,0.66,0.0,1.8,75,13.0,40.0,9.978,3.51,0.56,9.4,5,5
7.9,0.6,0.06,1.6,69,15.0,59.0,9.964,3.3,0.46,9.4,5,6
7.3,0.65,0.0,1.2,65,15.0,21.0,9.946,3.39,0.47,10.0,7,7
7.8,0.58,0.02,2.0,73,9.0,18.0,9.968,3.36,0.57,9.5,7,8
6.7,0.58,0.08,1.8,9.699.999.999.999.990,15.0,65.0,9.959,3.28,0.54,9.2,5,10
5.6,615,0.0,1.6,8.900.000.000.000.000,16.0,59.0,9.943,3.58,0.52,9.9,5,12
7.8,0.61,0.29,1.6,114,9.0,29.0,9.974,3.26,1.56,9.1,5,13
8.5,0.28,0.56,1.8,92,35.0,103.0,9.969,3.3,0.75,10.5,7,16
7.9,0.32,0.51,1.8,341,17.0,56.0,9.969,03.04,01.08,9.2,6,19
7.6,0.39,0.31,2.3,8.199.999.999.999.990,23.0,71.0,9.982,3.52,0.65,9.7,5,21
7.9,0.43,0.21,1.6,106,10.0,37.0,9.966,3.17,0.91,9.5,5,22
8.5,0.49,0.11,2.3,84,9.0,67.0,9.968,3.17,0.53,9.4,5,23
6.9,0.4,0.14,2.4,85,21.0,40.0,9.968,3.43,0.63,9.7,6,24
6.3,0.39,0.16,1.4,0.08,11.0,23.0,9.955,3.34,0.56,9.3,5,25
7.6,0.41,0.24,1.8,0.08,4.0,11.0,9.962,3.28,0.59,9.5,5,26
7.1,0.71,0.0,1.9,0.08,14.0,35.0,9.972,3.47,0.55,9.4,5,28
7.8,645,0.0,2.0,8.199.999.999.999.990,8.0,16.0,9.964,3.38,0.59,9.8,6,29
6.7,675,0.07,2.4,8.900.000.000.000.000,17.0,82.0,9.958,3.35,0.54,10.1,5,30
8.3,655,0.12,2.3,83,15.0,113.0,9.966,3.17,0.66,9.8,5,32
5.2,0.32,0.25,1.8,10.300.000.000.000.000,13.0,50.0,9.957,3.38,0.55,9.2,5,34
7.8,645,0.0,5.5,86,5.0,18.0,9.986,3.4,0.55,9.6,6,35
7.8,0.6,0.14,2.4,86,3.0,15.0,9.975,3.42,0.6,10.8,6,36
8.1,0.38,0.28,2.1,66,13.0,30.0,9.968,3.23,0.73,9.7,7,37
7.3,0.45,0.36,5.9,7.400.000.000.000.000,12.0,87.0,9.978,3.33,0.83,10.5,5,40
8.8,0.61,0.3,2.8,8.800.000.000.000.000,17.0,46.0,9.976,3.26,0.51,9.3,4,41
7.5,0.49,0.2,2.6,332,8.0,14.0,9.968,3.21,0.9,10.5,6,42
8.1,0.66,0.22,2.2,69,9.0,23.0,9.968,3.3,1.2,10.3,5,43
4.6,0.52,0.15,2.1,54.000.000.000.000.000,8.0,65.0,9.934,3.9,0.56,13.1,4,45
7.7,935,0.43,2.2,114,22.0,114.0,997,3.25,0.73,9.2,5,46
8.8,0.66,0.26,1.7,7.400.000.000.000.000,4.0,23.0,9.971,3.15,0.74,9.2,5,50
6.6,0.52,0.04,2.2,69,8.0,15.0,9.956,3.4,0.63,9.4,6,51
6.6,0.5,0.04,2.1,68,6.0,14.0,9.955,3.39,0.64,9.4,6,52
8.6,0.38,0.36,3.0,81,30.0,119.0,997,3.2,0.56,9.4,5,53
7.6,0.51,0.15,2.8,0.11,33.0,73.0,9.955,3.17,0.63,10.2,6,54
10.2,0.42,0.57,3.4,0.07,4.0,10.0,9.971,03.04,0.63,9.6,5,56
7.8,0.59,0.18,2.3,76,17.0,54.0,9.975,3.43,0.59,10.0,5,58
7.3,0.39,0.31,2.4,7.400.000.000.000.000,9.0,46.0,9.962,3.41,0.54,9.4,6,59
8.8,0.4,0.4,2.2,79,19.0,52.0,998,3.44,0.64,9.2,5,60
7.7,0.69,0.49,1.8,115,20.0,112.0,9.968,3.21,0.71,9.3,5,61
7.0,735,0.05,2.0,81,13.0,54.0,9.966,3.39,0.57,9.8,5,63
7.2,725,0.05,4.65,86,4.0,11.0,9.962,3.41,0.39,10.9,5,64
7.2,725,0.05,4.65,86,4.0,11.0,9.962,3.41,0.39,10.9,5,65
6.6,705,0.07,1.6,76,6.0,15.0,9.962,3.44,0.58,10.7,5,67
8.0,705,0.05,1.9,7.400.000.000.000.000,8.0,19.0,9.962,3.34,0.95,10.5,6,69
7.7,0.69,0.22,1.9,84,18.0,94.0,9.961,3.31,0.48,9.5,5,72
8.3,675,0.26,2.1,84,11.0,43.0,9.976,3.31,0.53,9.2,4,73
8.8,0.41,0.64,2.2,9.300.000.000.000.000,9.0,42.0,9.986,3.54,0.66,10.5,5,76
6.8,785,0.0,2.4,10.400.000.000.000.000,14.0,30.0,9.966,3.52,0.55,10.7,6,77
6.7,0.75,0.12,2.0,86,12.0,80.0,9.958,3.38,0.52,10.1,5,78
8.3,625,0.2,1.5,0.08,27.0,119.0,9.972,3.16,1.12,9.1,4,79
6.2,0.45,0.2,1.6,69,3.0,15.0,9.958,3.41,0.56,9.2,5,80
7.4,0.5,0.47,2.0,86,21.0,73.0,997,3.36,0.57,9.1,5,82
6.3,0.3,0.48,1.8,69,18.0,61.0,9.959,3.44,0.78,10.3,6,84
6.9,0.55,0.15,2.2,76,19.0,40.0,9.961,3.41,0.59,10.1,5,85
8.6,0.49,0.28,1.9,0.11,20.0,136.0,9.972,2.93,1.95,9.9,6,86
7.7,0.49,0.26,1.9,62,9.0,31.0,9.966,3.39,0.64,9.6,5,87
9.3,0.39,0.44,2.1,107,34.0,125.0,9.978,3.14,1.22,9.5,5,88
7.0,0.62,0.08,1.8,76,8.0,24.0,9.978,3.48,0.53,9.0,5,89
7.9,0.52,0.26,1.9,79,42.0,140.0,9.964,3.23,0.54,9.5,5,90
8.6,0.49,0.28,1.9,0.11,20.0,136.0,9.972,2.93,1.95,9.9,6,91
7.7,0.49,0.26,1.9,62,9.0,31.0,9.966,3.39,0.64,9.6,5,93
5.0,01.02,0.04,1.4,45,41.0,85.0,9.938,3.75,0.48,10.5,4,94
6.8,775,0.0,3.0,102,8.0,23.0,9.965,3.45,0.56,10.7,5,96
7.6,0.9,0.06,2.5,79,5.0,10.0,9.967,3.39,0.56,9.8,5,98
8.1,545,0.18,1.9,0.08,13.0,35.0,9.972,3.3,0.59,9.0,6,99
8.3,0.61,0.3,2.1,84,11.0,50.0,9.972,3.4,0.61,10.2,6,100
8.1,545,0.18,1.9,0.08,13.0,35.0,9.972,3.3,0.59,9.0,6,102
8.1,575,0.22,2.1,77,12.0,65.0,9.967,3.29,0.51,9.2,5,103
7.2,0.49,0.24,2.2,0.07,5.0,36.0,996,3.33,0.48,9.4,5,104
8.1,575,0.22,2.1,77,12.0,65.0,9.967,3.29,0.51,9.2,5,105
7.8,0.41,0.68,1.7,467,18.0,69.0,9.973,03.08,1.31,9.3,5,106
6.2,0.63,0.31,1.7,8.800.000.000.000.000,15.0,64.0,9.969,3.46,0.79,9.3,5,107
7.8,0.56,0.19,1.8,10.400.000.000.000.000,12.0,47.0,9.964,3.19,0.93,9.5,5,110
8.4,0.62,0.09,2.2,84,11.0,108.0,9.964,3.15,0.66,9.8,5,111
10.1,0.31,0.44,2.3,0.08,22.0,46.0,9.988,3.32,0.67,9.7,6,113
7.8,0.56,0.19,1.8,10.400.000.000.000.000,12.0,47.0,9.964,3.19,0.93,9.5,5,114
9.4,0.4,0.31,2.2,0.09,13.0,62.0,9.966,03.07,0.63,10.5,6,115
8.3,0.54,0.28,1.9,77,11.0,40.0,9.978,3.39,0.61,10.0,6,116
7.3,01.07,0.09,1.7,17.800.000.000.000.000,10.0,89.0,9.962,3.3,0.57,9.0,5,120
8.8,0.55,0.04,2.2,11.900.000.000.000.000,14.0,56.0,9.962,3.21,0.6,10.9,6,121
7.3,695,0.0,2.5,75,3.0,13.0,998,3.49,0.52,9.2,5,122
7.8,0.5,0.17,1.6,8.199.999.999.999.990,21.0,102.0,996,3.39,0.48,9.5,5,124
8.2,1.33,0.0,1.7,81,3.0,12.0,9.964,3.53,0.49,10.9,5,126
8.1,1.33,0.0,1.8,8.199.999.999.999.990,3.0,12.0,9.964,3.54,0.48,10.9,5,127
8.0,0.59,0.16,1.8,65,3.0,16.0,9.962,3.42,0.92,10.5,7,128
8.0,745,0.56,2.0,11.800.000.000.000.000,30.0,134.0,9.968,3.24,0.66,9.4,5,130
5.6,0.5,0.09,2.3,49,17.0,99.0,9.937,3.63,0.63,13.0,5,131
7.9,01.04,0.05,2.2,84,13.0,29.0,9.959,3.22,0.55,9.9,6,134
8.4,745,0.11,1.9,0.09,16.0,63.0,9.965,3.19,0.82,9.6,5,135
7.2,415,0.36,2.0,81,13.0,45.0,9.972,3.48,0.64,9.2,5,137
8.4,745,0.11,1.9,0.09,16.0,63.0,9.965,3.19,0.82,9.6,5,140
5.2,0.34,0.0,1.8,0.05,27.0,63.0,9.916,3.68,0.79,14.0,6,142
6.3,0.39,0.08,1.7,66,3.0,20.0,9.954,3.34,0.58,9.4,5,143
5.2,0.34,0.0,1.8,0.05,27.0,63.0,9.916,3.68,0.79,14.0,6,144
8.1,0.67,0.55,1.8,11.699.999.999.999.900,32.0,141.0,9.968,3.17,0.62,9.4,5,145
5.8,0.68,0.02,1.8,87,21.0,94.0,9.944,3.54,0.52,10.0,5,146
6.9,0.49,0.1,2.3,7.400.000.000.000.000,12.0,30.0,9.959,3.42,0.58,10.2,6,148
7.3,0.33,0.47,2.1,77,5.0,11.0,9.958,3.33,0.53,10.3,6,150
9.2,0.52,1.0,3.4,0.61,32.0,69.0,9.996,2.74,2.0,9.4,4,151
7.5,0.6,0.03,1.8,95,25.0,99.0,995,3.35,0.54,10.1,5,152
7.5,0.6,0.03,1.8,95,25.0,99.0,995,3.35,0.54,10.1,5,153
7.1,0.43,0.42,5.5,71,28.0,128.0,9.973,3.42,0.71,10.5,5,155
7.1,0.43,0.42,5.5,0.07,29.0,129.0,9.973,3.42,0.72,10.5,5,156
7.1,0.43,0.42,5.5,71,28.0,128.0,9.973,3.42,0.71,10.5,5,157
7.1,0.68,0.0,2.2,73,12.0,22.0,9.969,3.48,0.5,9.3,5,158
6.8,0.6,0.18,1.9,79,18.0,86.0,9.968,3.59,0.57,9.3,6,159
7.6,0.95,0.03,2.0,0.09,7.0,20.0,9.959,3.2,0.56,9.6,5,160
7.6,0.68,0.02,1.3,7.200.000.000.000.000,9.0,20.0,9.965,3.17,01.08,9.2,4,161
7.8,0.53,0.04,1.7,76,17.0,31.0,9.964,3.33,0.56,10.0,6,162
7.4,0.6,0.26,7.3,0.07,36.0,121.0,9.982,3.37,0.49,9.4,5,163
7.3,0.59,0.26,7.2,0.07,35.0,121.0,9.981,3.37,0.49,9.4,5,164
7.8,0.63,0.48,1.7,0.1,14.0,96.0,9.961,3.19,0.62,9.5,5,165
6.8,0.64,0.1,2.1,85,18.0,101.0,9.956,3.34,0.52,10.2,5,166
7.3,0.55,0.03,1.6,7.200.000.000.000.000,17.0,42.0,9.956,3.37,0.48,9.0,4,167
6.8,0.63,0.07,2.1,8.900.000.000.000.000,11.0,44.0,9.953,3.47,0.55,10.4,6,168
7.9,885,0.03,1.8,57.999.999.999.999.900,4.0,8.0,9.972,3.36,0.33,9.1,4,170
8.0,0.42,0.17,2.0,73,6.0,18.0,9.972,3.29,0.61,9.2,6,172
7.4,0.62,0.05,1.9,68,24.0,42.0,9.961,3.42,0.57,11.5,6,173
6.9,0.5,0.04,1.5,85,19.0,49.0,9.958,3.35,0.78,9.5,5,175
7.3,0.38,0.21,2.0,0.08,7.0,35.0,9.961,3.33,0.47,9.5,5,176
7.5,0.52,0.42,2.3,87,8.0,38.0,9.972,3.58,0.61,10.5,6,177
7.0,805,0.0,2.5,68,7.0,20.0,9.969,3.48,0.56,9.6,5,178
8.8,0.61,0.14,2.4,67,10.0,42.0,9.969,3.19,0.59,9.5,5,179
8.8,0.61,0.14,2.4,67,10.0,42.0,9.969,3.19,0.59,9.5,5,180
8.9,0.61,0.49,2.0,0.27,23.0,110.0,9.972,3.12,01.02,9.3,5,181
7.2,0.73,0.02,2.5,76,16.0,42.0,9.972,3.44,0.52,9.3,5,182
6.8,0.61,0.2,1.8,77,11.0,65.0,9.971,3.54,0.58,9.3,5,183
6.7,0.62,0.21,1.9,79,8.0,62.0,997,3.52,0.58,9.3,6,184
8.9,0.31,0.57,2.0,111,26.0,85.0,9.971,3.26,0.53,9.7,5,185
7.4,0.39,0.48,2.0,8.199.999.999.999.990,14.0,67.0,9.972,3.34,0.55,9.2,5,186
7.9,0.5,0.33,2.0,84,15.0,143.0,9.968,3.2,0.55,9.5,5,188
8.2,0.5,0.35,2.9,77,21.0,127.0,9.976,3.23,0.62,9.4,5,190
6.4,0.37,0.25,1.9,7.400.000.000.000.000,21.0,49.0,9.974,3.57,0.62,9.8,6,191
7.6,0.55,0.21,2.2,71,7.0,28.0,9.964,3.28,0.55,9.7,5,193
7.6,0.55,0.21,2.2,71,7.0,28.0,9.964,3.28,0.55,9.7,5,194
7.3,0.58,0.3,2.4,7.400.000.000.000.000,15.0,55.0,9.968,3.46,0.59,10.2,5,196
11.5,0.3,0.6,2.0,67,12.0,27.0,9.981,3.11,0.97,10.1,6,197
6.9,01.09,0.06,2.1,61,12.0,31.0,9.948,3.51,0.43,11.4,4,199
9.6,0.32,0.47,1.4,55.999.999.999.999.900,9.0,24.0,99.695,3.22,0.82,10.3,7,200
7.0,0.43,0.36,1.6,8.900.000.000.000.000,14.0,37.0,99.615,3.34,0.56,9.2,6,204
12.8,0.3,0.74,2.6,95,9.0,28.0,9.994,3.2,0.77,10.8,7,205
12.8,0.3,0.74,2.6,95,9.0,28.0,9.994,3.2,0.77,10.8,7,206
7.8,0.44,0.28,2.7,0.1,18.0,95.0,9.966,3.22,0.67,9.4,5,208
9.7,0.53,0.6,2.0,39,5.0,19.0,99.585,3.3,0.86,12.4,6,210
8.0,725,0.24,2.8,83,10.0,62.0,99.685,3.35,0.56,10.0,6,211
8.2,0.57,0.26,2.2,0.06,28.0,65.0,9.959,3.3,0.43,10.1,5,213
7.8,735,0.08,2.4,92,10.0,41.0,9.974,3.24,0.71,9.8,6,214
7.0,0.49,0.49,5.6,0.06,26.0,121.0,9.974,3.34,0.76,10.5,5,215
8.7,625,0.16,2.0,10.099.999.999.999.900,13.0,49.0,9.962,3.14,0.57,11.0,5,216
8.1,725,0.22,2.2,7.200.000.000.000.000,11.0,41.0,9.967,3.36,0.55,9.1,5,217
7.5,0.49,0.19,1.9,76,10.0,44.0,9.957,3.39,0.54,9.7,5,218
7.8,0.34,0.37,2.0,8.199.999.999.999.990,24.0,58.0,9.964,3.34,0.59,9.4,6,220
7.4,0.53,0.26,2.0,10.099.999.999.999.900,16.0,72.0,9.957,3.15,0.57,9.4,5,221
6.8,0.61,0.04,1.5,57,5.0,10.0,99.525,3.42,0.6,9.5,5,222
8.6,645,0.25,2.0,83,8.0,28.0,99.815,3.28,0.6,10.0,6,223
7.7,0.43,0.25,2.6,73,29.0,63.0,99.615,3.37,0.58,10.5,6,225
8.9,0.59,0.5,2.0,337,27.0,81.0,9.964,03.04,1.61,9.5,6,226
5.2,0.48,0.04,1.6,54.000.000.000.000.000,19.0,106.0,9.927,3.54,0.62,12.2,7,230
8.0,0.38,0.06,1.8,78,12.0,49.0,99.625,3.37,0.52,9.9,6,231
8.5,0.37,0.2,2.8,0.09,18.0,58.0,998,3.34,0.7,9.6,6,232
8.2,1.0,0.09,2.3,65,7.0,37.0,99.685,3.32,0.55,9.0,6,234
7.2,0.63,0.0,1.9,9.699.999.999.999.990,14.0,38.0,99.675,3.37,0.58,9.0,6,235
8.9,635,0.37,1.7,263,5.0,62.0,9.971,3.0,01.09,9.3,5,240
12.0,0.38,0.56,2.1,9.300.000.000.000.000,6.0,24.0,99.925,3.14,0.71,10.9,6,241
7.7,0.58,0.1,1.8,102,28.0,109.0,99.565,03.08,0.49,9.8,6,242
15.0,0.21,0.44,2.2,75,10.0,24.0,100.005,03.07,0.84,9.2,7,243
15.0,0.21,0.44,2.2,75,10.0,24.0,100.005,03.07,0.84,9.2,7,244
7.3,0.66,0.0,2.0,84,6.0,23.0,9.983,3.61,0.96,9.9,6,245
7.1,0.68,0.07,1.9,75,16.0,51.0,99.685,3.38,0.52,9.5,5,246
7.3,0.66,0.0,2.0,84,6.0,23.0,9.983,3.61,0.96,9.9,6,249
10.8,0.32,0.44,1.6,63,16.0,37.0,9.985,3.22,0.78,10.0,6,250
7.1,0.6,0.0,1.8,7.400.000.000.000.000,16.0,34.0,9.972,3.47,0.7,9.9,6,251
11.1,0.35,0.48,3.1,0.09,5.0,21.0,9.986,3.17,0.53,10.5,5,252
7.7,775,0.42,1.9,92,8.0,86.0,9.959,3.23,0.59,9.5,5,253
8.0,0.57,0.23,3.2,73,17.0,119.0,99.675,3.26,0.57,9.3,5,255
9.4,0.34,0.37,2.2,75,5.0,13.0,998,3.22,0.62,9.2,5,256
6.6,695,0.0,2.1,75,12.0,56.0,9.968,3.49,0.67,9.2,5,257
7.7,0.41,0.76,1.8,611,8.0,45.0,9.968,03.06,1.26,9.4,5,258
10.0,0.31,0.47,2.6,85,14.0,33.0,99.965,3.36,0.8,10.5,7,259
7.9,0.33,0.23,1.7,77,18.0,45.0,99.625,3.29,0.65,9.3,5,260
7.0,975,0.04,2.0,87,12.0,67.0,99.565,3.35,0.6,9.4,4,261
8.0,0.52,0.03,1.7,0.07,10.0,35.0,99.575,3.34,0.57,10.0,5,262
7.9,0.37,0.23,1.8,77,23.0,49.0,9.963,3.28,0.67,9.3,5,263
12.5,0.56,0.49,2.4,64,5.0,27.0,9.999,03.08,0.87,10.9,5,264
8.1,0.87,0.0,3.3,96,26.0,61.0,100.025,3.6,0.72,9.8,4,266
7.9,0.35,0.46,3.6,78,15.0,37.0,9.973,3.35,0.86,12.8,8,267
6.9,0.54,0.04,3.0,77,7.0,27.0,9.987,3.69,0.91,9.4,6,268
11.5,0.18,0.51,4.0,10.400.000.000.000.000,4.0,23.0,9.996,3.28,0.97,10.1,6,269
7.9,545,0.06,4.0,87,27.0,61.0,9.965,3.36,0.67,10.7,6,270
7.9,545,0.06,4.0,87,27.0,61.0,9.965,3.36,0.67,10.7,6,275
6.9,0.54,0.04,3.0,77,7.0,27.0,9.987,3.69,0.91,9.4,6,276
11.5,0.18,0.51,4.0,10.400.000.000.000.000,4.0,23.0,9.996,3.28,0.97,10.1,6,277
10.3,0.32,0.45,6.4,73,5.0,13.0,9.976,3.23,0.82,12.6,8,278
8.9,0.4,0.32,5.6,87,10.0,47.0,9.991,3.38,0.77,10.5,7,279
11.4,0.26,0.44,3.6,71,6.0,19.0,9.986,3.12,0.82,9.3,6,280
7.7,0.27,0.68,3.5,358,5.0,10.0,9.972,3.25,01.08,9.9,7,281
8.9,0.4,0.32,5.6,87,10.0,47.0,9.991,3.38,0.77,10.5,7,283
9.9,0.59,0.07,3.4,102,32.0,71.0,100.015,3.31,0.71,9.8,5,284
9.9,0.59,0.07,3.4,102,32.0,71.0,100.015,3.31,0.71,9.8,5,285
12.0,0.45,0.55,2.0,73,25.0,49.0,9.997,3.1,0.76,10.3,6,286
7.5,0.4,0.12,3.0,92,29.0,53.0,9.967,3.37,0.7,10.3,6,287
8.7,0.52,0.09,2.5,91,20.0,49.0,9.976,3.34,0.86,10.6,7,288
11.6,0.42,0.53,3.3,105,33.0,98.0,1.001,3.2,0.95,9.2,5,289
8.7,0.52,0.09,2.5,91,20.0,49.0,9.976,3.34,0.86,10.6,7,290
10.4,0.55,0.23,2.7,91,18.0,48.0,9.994,3.22,0.64,10.3,6,292
6.9,0.36,0.25,2.4,98,5.0,16.0,9.964,3.41,0.6,10.1,6,293
13.3,0.34,0.52,3.2,94,17.0,53.0,1.2014,03.05,0.81,9.5,6,294
10.8,0.5,0.46,2.5,73,5.0,27.0,1.2001,03.05,0.64,9.5,5,295
10.6,0.83,0.37,2.6,86,26.0,70.0,9.981,3.16,0.52,9.9,5,296
7.1,0.63,0.06,2.0,83,8.0,29.0,99.855,3.67,0.73,9.6,5,297
7.2,0.65,0.02,2.3,94,5.0,31.0,9.993,3.67,0.8,9.7,5,298
7.5,0.53,0.06,2.6,86,20.0,44.0,9.965,3.38,0.59,10.7,6,300
11.1,0.18,0.48,1.5,68,7.0,15.0,9.973,3.22,0.64,10.1,6,301
8.3,705,0.12,2.6,92,12.0,28.0,9.994,3.51,0.72,10.0,5,302
8.4,0.65,0.6,2.1,11.199.999.999.999.900,12.0,90.0,9.973,3.2,0.52,9.2,5,304
7.6,0.62,0.32,2.2,8.199.999.999.999.990,7.0,54.0,9.966,3.36,0.52,9.4,5,306
10.3,0.41,0.42,2.4,213,6.0,14.0,9.994,3.19,0.62,9.5,6,307
10.3,0.43,0.44,2.4,214,5.0,12.0,9.994,3.19,0.63,9.5,6,308
7.9,0.53,0.24,2.0,7.200.000.000.000.000,15.0,105.0,996,3.27,0.54,9.4,6,311
9.0,0.46,0.31,2.8,9.300.000.000.000.000,19.0,98.0,99.815,3.32,0.63,9.5,6,312
8.6,0.47,0.3,3.0,76,30.0,135.0,9.976,3.3,0.53,9.4,5,313
7.4,0.36,0.29,2.6,87,26.0,72.0,99.645,3.39,0.68,11.0,5,314
9.8,0.66,0.39,3.2,83,21.0,59.0,9.989,3.37,0.71,11.5,7,318
9.6,0.77,0.12,2.9,8.199.999.999.999.990,30.0,74.0,99.865,3.3,0.64,10.4,6,319
9.3,0.61,0.26,3.4,0.09,25.0,87.0,99.975,3.24,0.62,9.7,5,321
10.0,0.49,0.2,11.0,71,13.0,50.0,1.2015,3.16,0.69,9.2,6,324
10.0,0.49,0.2,11.0,71,13.0,50.0,1.2015,3.16,0.69,9.2,6,325
11.6,0.53,0.66,3.65,121,6.0,14.0,9.978,03.05,0.74,11.5,7,326
10.3,0.44,0.5,4.5,107,5.0,13.0,998,3.28,0.83,11.5,5,327
13.4,0.27,0.62,2.6,8.199.999.999.999.990,6.0,21.0,1.2002,3.16,0.67,9.7,6,328
8.4,0.56,0.08,2.1,105,16.0,44.0,9.958,3.13,0.52,11.0,5,333
7.9,0.65,0.01,2.5,78,17.0,38.0,9.963,3.34,0.74,11.7,7,334
11.9,695,0.53,3.4,128,7.0,21.0,9.992,3.17,0.84,12.2,7,335
8.9,0.43,0.45,1.9,52.000.000.000.000.000,6.0,16.0,9.948,3.35,0.7,12.5,6,336
7.8,0.43,0.32,2.8,0.08,29.0,58.0,9.974,3.31,0.64,10.3,5,337
12.5,0.28,0.54,2.3,8.199.999.999.999.990,12.0,29.0,9.997,3.11,1.36,9.8,7,339
10.9,0.39,0.47,1.8,11.800.000.000.000.000,6.0,14.0,9.982,3.3,0.75,9.8,6,342
10.9,0.39,0.47,1.8,11.800.000.000.000.000,6.0,14.0,9.982,3.3,0.75,9.8,6,343
